ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
小鹿中医-养生调理,医疗健康,com.xiaolu.patient,https://s.xiaoluyy.com/xiaoluyyapp/agreement/legal.html,success
上海助医,医疗健康,com.lihuan.zhuyi,https://shzy.91985.com/zhuyistaticpage/privacy.html,success
基因宝,医疗健康,com.laso.lasogene,https://static.genebox.cn/static/privacy.html,success
医动力医生版,医疗健康,com.gyenno.zero.doctor,https://agreement.gyenno.com/doctor/agreement-privacy.html,success
开欣医生,医疗健康,com.happydoctor,https://hsjayy.cnhis.com/crm/h5/#/business-agreement?title=开欣医生隐私保护政策&type=happyDoctorPrivacy,success
整形报价器--覆盖全国整形医院,医疗健康,com.meb.zxbj,https://diy.meb.com/dsp/#/user/privacy/v2,success
博恩云,医疗健康,com.bondentcloud.train,https://h5.bondentcloud.cn/document/privacy,success
禾大夫,医疗健康,com.zhenhe.hedaifu,https://web.app.hdfapp.zhenheyiguan.com/app/privacy_policy.html,success
智健康,医疗健康,com.lgcns.smarthealth,https://app-h5.ismarthealth.com/agreementService.html,success
OKOK,医疗健康,com.chipsea.btcontrol,http://www.tookok.cn/license/ok/agreement.html,success
呼噜猫舍-白噪音助眠与解压,医疗健康,com.zuoyou.sleep,https://www.lrgarden.cn/snoring_pp.html,success
粒健康-健康指导减肥健身,医疗健康,com.biovascula.vmi.app,http://app.biovascula.cn/hundred/pages/agreement.html,success
听博士-助听器验配听力测试咨询,医疗健康,com.hysound.hearing,https://www.drhearing.vip/smallArticledetail2.htm?wzid=6,success
医路护卫,医疗健康,cn.jiluai.xnws,http://palm.cdhg123.club/portal/index/privacy.html,success
携手医访医生端,医疗健康,com.xieshou.healthyDerDoctor,https://h5.dermatology.xieshou.org/Download/serviceAgreement.html,success
华西妇幼,医疗健康,com.wcsuh_scu.hxhapp,http://hxfy.schxfy.com:8686/policy.html,success
妙手医生版,医疗健康,com.yuanxin.perfectdoctor,http://ucenter.miaoshou.com/public/privacy-agreement,success
壹点灵医生,医疗健康,com.yidianling.medical.expert,https://h2.yidianling.com/help/401,success
就医理赔管家,医疗健康,com.pajk.ehiscrowdPackage,https://ehis-audit-ivs-dmz.health.pingan.com/ehis-audit-ivs-web/main/privacypolicy.html,success
小豆苗,医疗健康,com.threegene.yeemiao,https://dm.yeemiao.com/agreement/User_Privacy_Policy_V2_0.html?r=0.104691,success
NOW健康,医疗健康,com.healthcloudapp,https://live.17wo.cn/#/digitalLife/privacy,success
金牌护士,医疗健康,com.bjut.cyl.findnurse,https://resource.goldnurse.com/commons/protocol/0d9752dee6974a13b0f1295065ea6988/2021060218294182440.html,success
金牌护士护士端,医疗健康,com.gold.nurse.goldnurse,https://resource.goldnurse.com/commons/protocol/0d9752dee6974a13b0f1295065ea6988/2021060218294182440.html,success
吴试纸,医疗健康,com.uulife.medical.doctor,http://www.niaodaifu.cn/wushizhi/privacy.html,success
SleepMapper,医疗健康,com.philips.src.hss,https://www.philips.com.cn/a-w/mobile-privacy-notice/be_ps_combined-app.html,success
慧孕育,医疗健康,com.yunkanghuigu.wisebreeding,http://47.111.248.74:8083/AppAgreem/IndexV2?type=9,success
柠檬喝水,医疗健康,com.lemonpiggy.drinkwater,https://drink.lemonpiggy.com/drinkwater/privacy-policy.html,success
浙江预约挂号,医疗健康,com.zjrc.yygh,https://zjjk.zj12580.cn/universal/privacy_rule/V7.6.22/index.html,success
往约,医疗健康,com.st.QSB,https://wyh5.wangyuedaojia.com/rule/yinsiwendang.html,success
飞礼,医疗健康,uni.UNI7903210999,https://epk-h5.bc2c.cn/#/pages/common/protocol,success
Nutridays,医疗健康,com.icomon.nutridays,https://online.fitdays.cn/app/privacy?language=zh_hans&source=4,success
姿美健康,医疗健康,com.simeitol.slimming,http://jk-h5-m.simeitol.com/pages/public/privacy-health/privacy-health?myjk-version=1.1.0.0&isApp=1,success
全优医术,医疗健康,cn.kanglin.puwaike,https://talent.angsechina.com//portal//index//privacy.html,success
医动力医生版,医疗健康,com.gyenno.zero.doctor,https://agreement.gyenno.com/doctor/agreement-privacy.html,success
开欣医生,医疗健康,com.happydoctor,https://hsjayy.cnhis.com/crm/h5/#/business-agreement?title=开欣医生隐私保护政策&type=happyDoctorPrivacy,success
整形报价器--覆盖全国整形医院,医疗健康,com.meb.zxbj,https://diy.meb.com/dsp/#/user/privacy/v2,success
博恩云,医疗健康,com.bondentcloud.train,https://h5.bondentcloud.cn/document/privacy,success
禾大夫,医疗健康,com.zhenhe.hedaifu,https://web.app.hdfapp.zhenheyiguan.com/app/privacy_policy.html,success
智健康,医疗健康,com.lgcns.smarthealth,https://app-h5.ismarthealth.com/agreementService.html,success
OKOK,医疗健康,com.chipsea.btcontrol,http://www.tookok.cn/license/ok/agreement.html,success
呼噜猫舍-白噪音助眠与解压,医疗健康,com.zuoyou.sleep,https://www.lrgarden.cn/snoring_pp.html,success
粒健康-健康指导减肥健身,医疗健康,com.biovascula.vmi.app,http://app.biovascula.cn/hundred/pages/agreement.html,success
听博士-助听器验配听力测试咨询,医疗健康,com.hysound.hearing,https://www.drhearing.vip/smallArticledetail2.htm?wzid=6,success
医路护卫,医疗健康,cn.jiluai.xnws,http://palm.cdhg123.club/portal/index/privacy.html,success
携手医访医生端,医疗健康,com.xieshou.healthyDerDoctor,https://h5.dermatology.xieshou.org/Download/serviceAgreement.html,success
华西妇幼,医疗健康,com.wcsuh_scu.hxhapp,http://hxfy.schxfy.com:8686/policy.html,success
妙手医生版,医疗健康,com.yuanxin.perfectdoctor,http://ucenter.miaoshou.com/public/privacy-agreement,success
壹点灵医生,医疗健康,com.yidianling.medical.expert,https://h2.yidianling.com/help/401,success
就医理赔管家,医疗健康,com.pajk.ehiscrowdPackage,https://ehis-audit-ivs-dmz.health.pingan.com/ehis-audit-ivs-web/main/privacypolicy.html,success
小豆苗,医疗健康,com.threegene.yeemiao,https://dm.yeemiao.com/agreement/User_Privacy_Policy_V2_0.html?r=0.104691,success
NOW健康,医疗健康,com.healthcloudapp,https://live.17wo.cn/#/digitalLife/privacy,success
金牌护士,医疗健康,com.bjut.cyl.findnurse,https://resource.goldnurse.com/commons/protocol/0d9752dee6974a13b0f1295065ea6988/2021060218294182440.html,success
金牌护士护士端,医疗健康,com.gold.nurse.goldnurse,https://resource.goldnurse.com/commons/protocol/0d9752dee6974a13b0f1295065ea6988/2021060218294182440.html,success
吴试纸,医疗健康,com.uulife.medical.doctor,http://www.niaodaifu.cn/wushizhi/privacy.html,success
SleepMapper,医疗健康,com.philips.src.hss,https://www.philips.com.cn/a-w/mobile-privacy-notice/be_ps_combined-app.html,success
慧孕育,医疗健康,com.yunkanghuigu.wisebreeding,http://47.111.248.74:8083/AppAgreem/IndexV2?type=9,success
柠檬喝水,医疗健康,com.lemonpiggy.drinkwater,https://drink.lemonpiggy.com/drinkwater/privacy-policy.html,success
浙江预约挂号,医疗健康,com.zjrc.yygh,https://zjjk.zj12580.cn/universal/privacy_rule/V7.6.22/index.html,success
往约,医疗健康,com.st.QSB,https://wyh5.wangyuedaojia.com/rule/yinsiwendang.html,success
飞礼,医疗健康,uni.UNI7903210999,https://epk-h5.bc2c.cn/#/pages/common/protocol,success
Nutridays,医疗健康,com.icomon.nutridays,https://online.fitdays.cn/app/privacy?language=zh_hans&source=4,success
姿美健康,医疗健康,com.simeitol.slimming,http://jk-h5-m.simeitol.com/pages/public/privacy-health/privacy-health?myjk-version=1.1.0.0&isApp=1,success
全优医术,医疗健康,cn.kanglin.puwaike,https://talent.angsechina.com//portal//index//privacy.html,success
掬掬猪,医疗健康,com.yzld.jjz,http://www.365meilemei.com/im/index/ceshi2?id=7,success
好享瘦,医疗健康,com.kufeng.hj.enjoy,https://act.hxsapp.com/base/Award/rule/yinsizhengce,success
橙意健康,医疗健康,com.chengyifamily.patient,http://dev.chengyifamily.com:8110/privacypolicy_patient.html,success
分子+,医疗健康,com.cq.gaopeng.stemcells,https://fenzijia.com/SC_xieyi/android/private.html,success
大悦塑形,医疗健康,com.dyimedical.sx,https://dayuemedical.com.cn/xy/sx_privacy.html,success
肝胆相照专家版,医疗健康,cn.shangyu.gdxzExpert,http://doc.igandan.com/app/integral/permission.html,success
橙意医生,医疗健康,com.cydoctor.cydoctor,http://dev.chengyifamily.com:8110/privacypolicy_doctor.html,success
1药网,医疗健康,com.yiwang,https://m.111.com.cn/cmsPage/20199f79a4020215104224/index.html,success
快速问医生,医疗健康,com.ts.zys,https://www.nocare.com/about/privacy,success
医科院肿瘤医院,医疗健康,com.aksofy.ykyzl,https://h5.aksofy.com/aprivacy.html,success
丁香园,医疗健康,cn.dxy.idxyer,https://assets.dxycdn.com/assets/app/bbs/clause/b.htm,success
健康160,医疗健康,cn.kidyn.qdmedical160,https://weixin.91160.com/sys/helpdetail.html?qid=265,success
花禾悦技师端,医疗健康,com.technician.cn,https://share.huaheyue.com/#/pages/techina?type=2,success
妙手医生,医疗健康,com.yuanxin.perfectdoc,http://ucenter.miaoshou.com/public/privacy-agreement,success
减肥日记,医疗健康,com.weight.slimmingxx,https://short.ss.bscstorage.com/private/3b9bec46a2fc.html,success
悠悠上门按摩,医疗健康,uni.UNI59F1744,https://anmo.huadu665020.com/installation_package/yhdv3yszc.html,success
好医工-医疗行业直播平台,医疗健康,com.klgz.app.haoyigong,http://h5.haoyigong.com/vweb/user/privacy.html,success
歧黄医官医生端,医疗健康,com.saas.doctor,http://c.xlanben.com/doctor/cms/privacy,success
彭友友,医疗健康,com.pengyou.www,http://www.pengyoufenqi.com/cdmyfq.com/pengyou/privacy.html,success
同普医学,医疗健康,com.tongpu.med,https://www.tongpumed.com/document/02-pyce.html,success
优麦医生,医疗健康,cn.com.shanghai.umer_doctor,http://app.umer.com.cn/common/privacyPolicyDocument,success
月经期,医疗健康,com.juhe.dayima,https://yinsi.juhe62.com/privacyPolicy/com.juhe.dayima/月经期/,success
